"YahooSymbol","PriceDate","Close"
"MRT-UN.TO","14-04-15",17.08
"MRT-UN.TO","15-04-15",17.17
"MRT-UN.TO","16-04-15",17.17
"MRT-UN.TO","17-04-15",17.33
"MRT-UN.TO","20-04-15",17.25
"MRT-UN.TO","21-04-15",17.23
"MRT-UN.TO","22-04-15",17.34
"MRT-UN.TO","23-04-15",17.3
"MRT-UN.TO","24-04-15",17.42
"MRT-UN.TO","27-04-15",17.23
"MRT-UN.TO","28-04-15",17.5
"MRT-UN.TO","29-04-15",17.33
"MRT-UN.TO","30-04-15",17.32
"MRT-UN.TO","01-05-15",17.2
"MRT-UN.TO","04-05-15",17.14
"MRT-UN.TO","05-05-15",16.6
"MRT-UN.TO","06-05-15",16.28
"MRT-UN.TO","07-05-15",16.73
"MRT-UN.TO","08-05-15",16.85
"MRT-UN.TO","11-05-15",16.96
"MRT-UN.TO","12-05-15",16.85
"MRT-UN.TO","13-05-15",16.94
"MRT-UN.TO","14-05-15",17.14
"MRT-UN.TO","15-05-15",17
"MRT-UN.TO","18-05-15",17
"MRT-UN.TO","19-05-15",17.14
"MRT-UN.TO","20-05-15",17.11
"MRT-UN.TO","21-05-15",17.11
"MRT-UN.TO","22-05-15",17.08
"MRT-UN.TO","25-05-15",17.1
"MRT-UN.TO","26-05-15",17.1
"MRT-UN.TO","27-05-15",16.8
"MRT-UN.TO","28-05-15",16.78
"MRT-UN.TO","29-05-15",16.54
"MRT-UN.TO","01-06-15",16.94
"MRT-UN.TO","02-06-15",16.88
"MRT-UN.TO","03-06-15",16.67
"MRT-UN.TO","04-06-15",16.5
"MRT-UN.TO","05-06-15",16.42
"MRT-UN.TO","08-06-15",16.38
"MRT-UN.TO","09-06-15",16.37
"MRT-UN.TO","10-06-15",16.65
"MRT-UN.TO","11-06-15",16.65
"MRT-UN.TO","12-06-15",16.63
"MRT-UN.TO","15-06-15",16.44
"MRT-UN.TO","16-06-15",16.46
"MRT-UN.TO","17-06-15",16.33
"MRT-UN.TO","18-06-15",16.56
"MRT-UN.TO","19-06-15",16.44
"MRT-UN.TO","22-06-15",16.23
"MRT-UN.TO","23-06-15",16.59
"MRT-UN.TO","24-06-15",16.5
"MRT-UN.TO","25-06-15",16.41
"MRT-UN.TO","26-06-15",16.34
"MRT-UN.TO","29-06-15",16.23
"MRT-UN.TO","30-06-15",16.48
"MRT-UN.TO","01-07-15",16.48
"MRT-UN.TO","02-07-15",16.49
"MRT-UN.TO","03-07-15",16.4
"MRT-UN.TO","06-07-15",16.65
"MRT-UN.TO","07-07-15",16.69
"MRT-UN.TO","08-07-15",16.52
"MRT-UN.TO","09-07-15",16.63
"MRT-UN.TO","10-07-15",16.52
"MRT-UN.TO","13-07-15",16.57
"MRT-UN.TO","14-07-15",16.67
"MRT-UN.TO","15-07-15",16.94
"MRT-UN.TO","16-07-15",16.9
"MRT-UN.TO","17-07-15",16.9
"MRT-UN.TO","20-07-15",16.82
"MRT-UN.TO","21-07-15",16.72
"MRT-UN.TO","22-07-15",16.65
"MRT-UN.TO","23-07-15",16.46
"MRT-UN.TO","24-07-15",16.41
"MRT-UN.TO","27-07-15",16.11
"MRT-UN.TO","28-07-15",16.21
